		(1)	(2)	(3)	(4)	(5)
						No debt/GDP
						GDP
VARIABLES	LABELS	Baseline	No debt/GDP	No GDP growth	No FX	FX
						
vix	vix	-0.0262***	-0.0075	-0.0199***	-0.0089	0.0031
		(0.0052)	(0.0118)	(0.0052)	(0.0067)	(0.0090)
fed_3m_forward	fed_3m_forward	0.1297***	0.1320***	0.1497***	0.0209	0.0417
		(0.0466)	(0.0473)	(0.0468)	(0.0418)	(0.0573)
usd_brl	usd_brl	0.7029***	0.5155**	0.7631***		
		(0.1761)	(0.2320)	(0.1763)		
gdp_yoy	gdp_yoy	-0.0745***	-0.0333		-0.0840***	
		(0.0215)	(0.0319)		(0.0199)	
debt_gdp	debt_gdp	0.1048*		0.0630	0.0750	
		(0.0594)		(0.0604)	(0.0603)	
cf_cash_oper_to_tot_asset	cf_cash_oper_to_tot_asset	0.0006	0.0008	-0.0001	0.0012	0.0006
		(0.0051)	(0.0053)	(0.0051)	(0.0051)	(0.0056)
amount_issued_to_bs_tot_asset	amount_issued_to_bs_tot_asset	-0.1017**	-0.1012**	-0.1068**	-0.1022**	-0.1067**
		(0.0438)	(0.0430)	(0.0432)	(0.0446)	(0.0456)
tot_debt_to_ebitda	tot_debt_to_ebitda	0.0007	0.0008	0.0007	0.0008	0.0008
		(0.0015)	(0.0015)	(0.0015)	(0.0015)	(0.0014)
days_to_maturity	days_to_maturity	0.2023	0.1767	0.2641*	-0.0432	0.0087
		(0.1588)	(0.1699)	(0.1523)	(0.1250)	(0.1096)
synthetic_cds_brl	synthetic_cds_brl	-0.1233**	-0.1340**	-0.1284**	-0.1303**	-0.1387**
		(0.0559)	(0.0530)	(0.0556)	(0.0593)	(0.0567)
						
Observations		4,229	4,229	4,229	4,229	4,229
R-squared		0.1205	0.1049	0.1093	0.1039	0.0882
Number of bond_id		103	103	103	103	103
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
