		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
										No debt/GDP			
										GDP			
VARIABLES	LABELS	FE	FE macro diffs	FE dynamic	PCSE	Driscoll-Kraay	No debt/GDP	No GDP	No FX	FX	Real FX	Real Fed	Real FX + Real Fed
													
vix	vix	-0.0262***	0.0046	-0.0075***	-0.0248*	-0.0262*	-0.0075	-0.0199***	-0.0089	0.0031	-0.0265***	-0.0411***	-0.0415***
		(0.0052)	(0.0083)	(0.0025)	(0.0141)	(0.0155)	(0.0118)	(0.0052)	(0.0067)	(0.0090)	(0.0055)	(0.0053)	(0.0054)
fed_3m_forward	fed_3m_forward	0.1297***		-0.0145**	0.1369***	0.1297	0.1320***	0.1497***	0.0209	0.0417	0.1063**		
		(0.0466)		(0.0062)	(0.0482)	(0.0922)	(0.0473)	(0.0468)	(0.0418)	(0.0573)	(0.0460)		
usd_brl	usd_brl	0.7029***		0.1238***	0.5067***	0.7029**	0.5155**	0.7631***				0.8122***	
		(0.1761)		(0.0292)	(0.1005)	(0.3426)	(0.2320)	(0.1763)				(0.2538)	
gdp_yoy	gdp_yoy	-0.0745***	-0.0868*	0.0189***	-0.0614*	-0.0745**	-0.0333		-0.0840***		-0.0754***	-0.1075***	-0.1091***
		(0.0215)	(0.0455)	(0.0068)	(0.0326)	(0.0351)	(0.0319)		(0.0199)		(0.0218)	(0.0260)	(0.0260)
debt_gdp	debt_gdp	0.1048*		-0.0047	0.1077***	0.1048**		0.0630	0.0750		0.1022*	0.1650***	0.1538***
		(0.0594)		(0.0065)	(0.0369)	(0.0519)		(0.0604)	(0.0603)		(0.0596)	(0.0530)	(0.0548)
cf_cash_oper_to_tot_asset	cf_cash_oper_to_tot_asset	0.0006	0.0025	0.0005	0.0091***	0.0006	0.0008	-0.0001	0.0012	0.0006	0.0004	-0.0009	-0.0011
		(0.0051)	(0.0055)	(0.0005)	(0.0024)	(0.0036)	(0.0053)	(0.0051)	(0.0051)	(0.0056)	(0.0050)	(0.0060)	(0.0059)
amount_issued_to_bs_tot_asset	amount_issued_to_bs_tot_asset	-0.1017**	-0.0959**	-0.0075	0.0067***	-0.1017***	-0.1012**	-0.1068**	-0.1022**	-0.1067**	-0.1014**	-0.1185**	-0.1192**
		(0.0438)	(0.0431)	(0.0050)	(0.0025)	(0.0164)	(0.0430)	(0.0432)	(0.0446)	(0.0456)	(0.0441)	(0.0462)	(0.0463)
tot_debt_to_ebitda	tot_debt_to_ebitda	0.0007	0.0003	0.0003	0.0001	0.0007	0.0008	0.0007	0.0008	0.0008	0.0008	0.0005	0.0006
		(0.0015)	(0.0012)	(0.0003)	(0.0011)	(0.0010)	(0.0015)	(0.0015)	(0.0015)	(0.0014)	(0.0015)	(0.0014)	(0.0014)
days_to_maturity	days_to_maturity	0.2023	-0.0410	0.0290	0.0471***	0.2023	0.1767	0.2641*	-0.0432	0.0087	0.1270	0.1687	0.0964
		(0.1588)	(0.1083)	(0.0193)	(0.0175)	(0.1296)	(0.1699)	(0.1523)	(0.1250)	(0.1096)	(0.1529)	(0.1838)	(0.1651)
synthetic_cds_brl	synthetic_cds_brl	-0.1233**	-0.1222**	-0.0045	-0.0315**	-0.1233***	-0.1340**	-0.1284**	-0.1303**	-0.1387**	-0.1214**	-0.1249**	-0.1211*
		(0.0559)	(0.0586)	(0.0074)	(0.0126)	(0.0342)	(0.0530)	(0.0556)	(0.0593)	(0.0567)	(0.0552)	(0.0615)	(0.0603)
D_fed_3m_forward	D_fed_3m_forward		0.6270										
			(0.5045)										
D_usd_brl	D_usd_brl		-0.1860										
			(0.2024)										
D_debt_gdp	D_debt_gdp		0.0337										
			(0.0900)										
L_spread	L_spread			0.9045***									
				(0.0193)									
real_exchange_rate	Real USD/BRL index; increase = BRL real depreciation										0.0161***		0.0189***
											(0.0049)		(0.0060)
fed_3m_real	Fed 3M forward minus US CPI YoY											0.0507	0.0361
												(0.0560)	(0.0518)
													
Observations		4,229	4,158	4,043	4,229	4,229	4,229	4,229	4,229	4,229	4,229	3,926	3,926
R-squared		0.1205	0.1053	0.8321	0.2655		0.1049	0.1093	0.1039	0.0882	0.1212	0.1337	0.1351
Number of bond_id		103	103	102	103		103	103	103	103	103	103	103
Number of groups						103							
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
